,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
743,0021400834,1610612751,BKN,Brooklyn,203486,Mason Plumlee,C,,16,0.537,0.259,0.091,0.0,0.471,0.114,0.089,0.286
744,0021400834,1610612751,BKN,Brooklyn,203508,Sergey Karasev,,,9,0.55,0.1,0.106,0.5,0.275,0.2,0.107,0.313
745,0021400834,1610612743,DEN,Denver,203530,Joffrey Lauvergne,,,20,0.289,0.263,0.184,0.233,0.635,0.162,0.094,0.083
746,0021400834,1610612751,BKN,Brooklyn,203900,Markel Brown,G,,45,0.472,0.261,0.097,0.326,0.381,0.25,0.148,0.293
747,0021400834,1610612743,DEN,Denver,203914,Gary Harris,G,,26,0.392,0.176,0.146,0.242,0.5,0.326,0.11,0.182
748,0021400834,1610612751,BKN,Brooklyn,203928,Cory Jefferson,,,8,0.471,0.471,0.054,0.429,0.2,0.267,0.119,0.154
749,0021400834,1610612743,DEN,Denver,203994,Jusuf Nurkic,C,,25,0.4,0.24,0.117,0.333,0.385,0.354,0.114,0.333
750,0021400834,1610612751,BKN,Brooklyn,2207,Joe Johnson,F,,28,0.443,0.358,0.101,0.276,0.409,0.236,0.175,0.265
751,0021400834,1610612743,DEN,Denver,2749,Jameer Nelson,,,11,0.429,0.238,0.189,0.5,0.42,0.08,0.048,0.462
752,0021400835,1610612738,BOS,Boston,101138,Brandon Bass,F,,29,0.602,0.315,0.165,0.25,0.593,0.148,0.168,0.13
753,0021400835,1610612756,PHX,Phoenix,200782,PJ Tucker,F,,35,0.479,0.194,0.164,0.316,0.444,0.324,0.119,0.184
754,0021400835,1610612756,PHX,Phoenix,201148,Brandan Wright,,,17,0.5,0.132,0.108,0.412,0.643,0.25,0.156,0.308
755,0021400835,1610612756,PHX,Phoenix,201977,Marcus Thornton,,,8,0.538,0.308,0.19,0.333,0.588,0.353,0.107,0.375
756,0021400835,1610612738,BOS,Boston,202323,Evan Turner,F,,31,0.444,0.306,0.123,0.188,0.477,0.121,0.182,0.324
757,0021400835,1610612756,PHX,Phoenix,202339,Eric Bledsoe,G,,39,0.533,0.145,0.169,0.2,0.473,0.333,0.152,0.2
758,0021400835,1610612738,BOS,Boston,202340,Avery Bradley,G,,29,0.45,0.283,0.115,0.2,0.491,0.161,0.197,0.25
759,0021400835,1610612756,PHX,Phoenix,202688,Brandon Knight,G,,33,0.485,0.152,0.177,0.286,0.558,0.3,0.169,0.148
760,0021400835,1610612756,PHX,Phoenix,202693,Markieff Morris,F,,30,0.518,0.193,0.192,0.25,0.467,0.35,0.123,0.161
761,0021400835,1610612756,PHX,Phoenix,202694,Marcus Morris,,,18,0.511,0.114,0.095,0.381,0.621,0.586,0.156,0.308
762,0021400835,1610612738,BOS,Boston,202738,Isaiah Thomas,,,27,0.612,0.408,0.148,0.273,0.426,0.204,0.146,0.4
763,0021400835,1610612738,BOS,Boston,203092,Tyler Zeller,C,,36,0.451,0.239,0.123,0.189,0.458,0.167,0.179,0.351
764,0021400835,1610612738,BOS,Boston,203109,Jae Crowder,,,28,0.53,0.44,0.128,0.2,0.462,0.154,0.14,0.4
765,0021400835,1610612756,PHX,Phoenix,203458,Alex Len,C,,31,0.456,0.193,0.206,0.258,0.429,0.206,0.138,0.182
766,0021400835,1610612756,PHX,Phoenix,203462,Archie Goodwin,,,13,0.458,0.139,0.096,0.556,0.6,0.55,0.116,0.25
767,0021400835,1610612738,BOS,Boston,203923,James Young,,,18,0.655,0.448,0.181,0.214,0.512,0.171,0.1,0.4
768,0021400835,1610612756,PHX,Phoenix,203933,TJ Warren,,,8,0.559,0.235,0.152,0.25,0.781,0.438,0.149,0.286
769,0021400835,1610612738,BOS,Boston,203935,Marcus Smart,G,,23,0.404,0.298,0.125,0.154,0.598,0.196,0.176,0.158
770,0021400835,1610612738,BOS,Boston,2222,Gerald Wallace,,,14,0.717,0.478,0.188,0.2,0.548,0.194,0.092,0.286
771,0021400835,1610612756,PHX,Phoenix,2853,Earl Barron,,,3,0.611,0.0,0.0,0.667,0.667,0.333,0.0,0.0
772,0021400836,1610612759,SAS,San Antonio,1495,Tim Duncan,F,,28,0.467,0.217,0.235,0.286,0.444,0.422,0.147,0.304
773,0021400836,1610612759,SAS,San Antonio,1938,Manu Ginobili,,,20,0.432,0.297,0.223,0.304,0.5,0.387,0.17,0.133
774,0021400836,1610612759,SAS,San Antonio,201158,Marco Belinelli,,,24,0.372,0.163,0.17,0.226,0.5,0.275,0.146,0.211
775,0021400836,1610612759,SAS,San Antonio,201168,Tiago Splitter,,,7,0.591,0.0,0.313,0.0,0.5,0.286,0.127,0.333
776,0021400836,1610612759,SAS,San Antonio,201965,Jeff Ayres,,,4,0.5,1.167,0.271,0.25,0.364,0.0,0.091,0.167
777,0021400836,1610612759,SAS,San Antonio,201980,Danny Green,G,,19,0.482,0.429,0.266,0.176,0.346,0.205,0.127,0.32
778,0021400836,1610612759,SAS,San Antonio,201988,Patty Mills,,,9,0.5,0.412,0.26,0.333,0.471,0.235,0.145,0.143
779,0021400836,1610612759,SAS,San Antonio,202130,Reggie Williams,,,9,0.5,0.583,0.221,0.143,0.361,0.111,0.056,0.25
780,0021400836,1610612762,UTA,Utah,202324,Derrick Favors,F,,31,0.409,0.2,0.134,0.258,0.457,0.277,0.251,0.185
781,0021400836,1610612762,UTA,Utah,202330,Gordon Hayward,F,,32,0.491,0.418,0.145,0.222,0.453,0.302,0.261,0.265
782,0021400836,1610612762,UTA,Utah,202344,Trevor Booker,,,23,0.463,0.3,0.127,0.211,0.344,0.222,0.148,0.265
783,0021400836,1610612762,UTA,Utah,202379,Jeremy Evans,,,6,0.346,0.0,0.091,0.5,0.375,0.0,0.2,0.0
784,0021400836,1610612762,UTA,Utah,202407,Elijah Millsap,,,26,0.415,0.213,0.115,0.2,0.476,0.333,0.231,0.192
785,0021400836,1610612759,SAS,San Antonio,202695,Kawhi Leonard,F,,24,0.407,0.116,0.244,0.286,0.451,0.366,0.144,0.3
786,0021400836,1610612759,SAS,San Antonio,202709,Cory Joseph,,,21,0.412,0.353,0.203,0.182,0.372,0.154,0.117,0.19
