,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
918,0021500136,1610612743,Nuggets,DEN,Denver,240,0.512,0.395,0.186,0.273,0.487,0.403,0.195,0.19
919,0021500136,1610612745,Rockets,HOU,Houston,240,0.487,0.403,0.195,0.19,0.512,0.395,0.186,0.273
920,0021500137,1610612751,Nets,BKN,Brooklyn,240,0.517,0.236,0.144,0.205,0.484,0.277,0.134,0.3
921,0021500137,1610612758,Kings,SAC,Sacramento,240,0.484,0.277,0.134,0.3,0.517,0.236,0.144,0.205
922,0021500138,1610612746,Clippers,LAC,Los Angeles,240,0.513,0.329,0.15,0.262,0.493,0.473,0.161,0.262
923,0021500138,1610612765,Pistons,DET,Detroit,240,0.493,0.473,0.161,0.262,0.513,0.329,0.15,0.262
924,0021500139,1610612753,Magic,ORL,Orlando,240,0.46,0.276,0.116,0.125,0.542,0.313,0.112,0.152
925,0021500139,1610612764,Wizards,WAS,Washington,240,0.542,0.313,0.112,0.152,0.46,0.276,0.116,0.125
926,0021500140,1610612742,Mavericks,DAL,Dallas,240,0.528,0.236,0.109,0.205,0.435,0.381,0.14,0.245
927,0021500140,1610612745,Rockets,HOU,Houston,240,0.435,0.381,0.14,0.245,0.528,0.236,0.109,0.205
928,0021500141,1610612739,Cavaliers,CLE,Cleveland,290,0.484,0.297,0.191,0.28,0.451,0.216,0.119,0.273
929,0021500141,1610612749,Bucks,MIL,Milwaukee,290,0.451,0.216,0.119,0.273,0.484,0.297,0.191,0.28
930,0021500142,1610612755,76ers,PHI,Philadelphia,240,0.451,0.134,0.157,0.125,0.418,0.294,0.143,0.255
931,0021500142,1610612759,Spurs,SAS,San Antonio,240,0.418,0.294,0.143,0.255,0.451,0.134,0.157,0.125
932,0021500143,1610612743,Nuggets,DEN,Denver,240,0.378,0.082,0.123,0.161,0.506,0.31,0.19,0.233
933,0021500143,1610612756,Suns,PHX,Phoenix,240,0.506,0.31,0.19,0.233,0.378,0.082,0.123,0.161
934,0021500144,1610612744,Warriors,GSW,Golden State,265,0.505,0.103,0.142,0.22,0.429,0.163,0.121,0.22
935,0021500144,1610612751,Nets,BKN,Brooklyn,265,0.429,0.163,0.121,0.22,0.505,0.103,0.142,0.22
936,0021500145,1610612740,Pelicans,NOP,New Orleans,240,0.493,0.268,0.193,0.114,0.455,0.216,0.094,0.238
937,0021500145,1610612752,Knicks,NYK,New York,240,0.455,0.216,0.094,0.238,0.493,0.268,0.193,0.114
938,0021500146,1610612750,Timberwolves,MIN,Minnesota,240,0.53,0.256,0.127,0.231,0.627,0.38,0.169,0.143
939,0021500146,1610612763,Grizzlies,MEM,Memphis,240,0.627,0.38,0.169,0.143,0.53,0.256,0.127,0.231
940,0021500147,1610612757,Trail Blazers,POR,Portland,240,0.421,0.236,0.127,0.348,0.548,0.229,0.125,0.189
941,0021500147,1610612766,Hornets,CHA,Charlotte,240,0.548,0.229,0.125,0.189,0.421,0.236,0.127,0.348
942,0021500148,1610612737,Hawks,ATL,Atlanta,240,0.539,0.224,0.166,0.211,0.559,0.224,0.214,0.286
943,0021500148,1610612762,Jazz,UTA,Utah,240,0.559,0.224,0.214,0.286,0.539,0.224,0.166,0.211
