,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
618,0021401109,1610612737,Hawks,ATL,Atlanta,240,100.6,113.5,-12.9,0.625,1.39,19.0,0.293,0.775,0.531,19.068,0.524,0.537,0.198,93.44,0.447
619,0021401109,1610612765,Pistons,DET,Detroit,240,113.5,100.6,12.9,0.634,2.36,20.4,0.225,0.707,0.469,11.894,0.56,0.58,0.2,93.44,0.553
620,0021401110,1610612748,Heat,MIA,Miami,240,87.8,102.7,-14.9,0.344,0.61,9.7,0.25,0.742,0.465,19.506,0.437,0.481,0.2,92.38,0.346
621,0021401110,1610612759,Spurs,SAS,San Antonio,240,102.7,87.8,14.9,0.568,1.11,17.3,0.258,0.75,0.535,20.545,0.554,0.583,0.2,92.38,0.654
622,0021401111,1610612744,Warriors,GSW,Golden State,240,111.2,106.5,4.6,0.737,3.11,20.4,0.244,0.767,0.512,9.095,0.494,0.55,0.2,99.24,0.549
623,0021401111,1610612746,Clippers,LAC,Los Angeles,240,106.5,111.2,-4.6,0.528,1.46,14.8,0.233,0.756,0.488,13.063,0.476,0.549,0.196,99.24,0.451
624,0021401112,1610612765,Pistons,DET,Detroit,240,81.3,104.6,-23.2,0.774,1.71,17.9,0.25,0.74,0.481,14.595,0.381,0.407,0.196,96.74,0.361
625,0021401112,1610612766,Hornets,CHA,Charlotte,240,104.6,81.3,23.2,0.553,2.1,16.0,0.26,0.75,0.519,10.25,0.472,0.507,0.198,96.74,0.639
626,0021401113,1610612753,Magic,ORL,Orlando,240,95.8,107.2,-11.3,0.615,2.0,18.1,0.269,0.766,0.505,12.637,0.446,0.469,0.2,95.54,0.459
627,0021401113,1610612759,Spurs,SAS,San Antonio,240,107.2,95.8,11.3,0.571,1.82,15.7,0.234,0.731,0.495,11.444,0.483,0.536,0.198,95.54,0.541
628,0021401114,1610612755,76ers,PHI,Philadelphia,240,94.4,112.0,-17.5,0.5,1.64,14.1,0.224,0.719,0.42,11.17,0.451,0.472,0.2,96.58,0.344
629,0021401114,1610612764,Wizards,WAS,Washington,240,112.0,94.4,17.5,0.75,1.83,24.1,0.281,0.776,0.58,19.011,0.605,0.619,0.196,96.58,0.656
630,0021401115,1610612738,Celtics,BOS,Boston,240,103.2,91.5,11.7,0.744,2.9,21.8,0.184,0.83,0.541,10.318,0.488,0.532,0.2,96.02,0.638
631,0021401115,1610612754,Pacers,IND,Indiana,240,91.5,103.2,-11.7,0.5,1.42,14.2,0.17,0.816,0.459,12.616,0.457,0.477,0.2,96.02,0.362
632,0021401116,1610612751,Nets,BKN,Brooklyn,240,112.0,104.7,7.3,0.585,2.4,20.0,0.189,0.75,0.481,11.201,0.562,0.58,0.2,91.44,0.541
633,0021401116,1610612752,Knicks,NYK,New York,240,104.7,112.0,-7.3,0.541,1.25,16.2,0.25,0.811,0.519,17.094,0.525,0.559,0.194,91.44,0.459
634,0021401117,1610612745,Rockets,HOU,Houston,240,111.7,106.7,5.0,0.585,1.41,17.0,0.275,0.583,0.424,16.505,0.562,0.575,0.2,103.52,0.5
635,0021401117,1610612758,Kings,SAC,Sacramento,240,106.7,111.7,-5.0,0.625,1.43,19.5,0.417,0.725,0.576,20.185,0.536,0.539,0.2,103.52,0.5
636,0021401118,1610612741,Bulls,CHI,Chicago,240,90.7,100.1,-9.3,0.581,0.82,13.8,0.3,0.583,0.455,21.939,0.453,0.504,0.196,97.6,0.491
637,0021401118,1610612749,Bucks,MIL,Milwaukee,240,100.1,90.7,9.3,0.405,0.83,11.5,0.417,0.7,0.545,18.963,0.461,0.49,0.2,97.6,0.509
638,0021401119,1610612750,Timberwolves,MIN,Minnesota,240,108.4,124.0,-15.6,0.512,1.62,17.6,0.212,0.758,0.485,14.229,0.565,0.58,0.2,91.24,0.455
639,0021401119,1610612761,Raptors,TOR,Toronto,240,124.0,108.4,15.6,0.595,1.92,20.1,0.242,0.788,0.515,14.267,0.638,0.656,0.198,91.24,0.545
640,0021401120,1610612742,Mavericks,DAL,Dallas,240,130.4,126.5,3.8,0.625,5.83,24.6,0.114,0.667,0.425,5.794,0.637,0.665,0.2,103.54,0.56
641,0021401120,1610612760,Thunder,OKC,Oklahoma City,240,126.5,130.4,-3.8,0.511,2.09,16.3,0.333,0.886,0.575,10.626,0.559,0.609,0.198,103.54,0.44
642,0021401121,1610612743,Nuggets,DEN,Denver,240,88.2,108.2,-20.1,0.394,2.17,10.9,0.229,0.7,0.443,6.297,0.384,0.419,0.2,92.92,0.343
643,0021401121,1610612762,Jazz,UTA,Utah,240,108.2,88.2,20.1,0.649,1.6,19.0,0.3,0.771,0.557,16.564,0.539,0.56,0.198,92.92,0.657
644,0021401122,1610612746,Clippers,LAC,Los Angeles,240,131.9,127.1,4.8,0.652,5.0,22.6,0.189,0.717,0.482,6.279,0.622,0.652,0.2,95.78,0.536
645,0021401122,1610612757,Trail Blazers,POR,Portland,240,127.1,131.9,-4.8,0.556,2.78,18.7,0.283,0.811,0.518,9.375,0.579,0.61,0.198,95.78,0.464
646,0021401123,1610612740,Pelicans,NOP,New Orleans,240,132.6,105.5,27.1,0.705,4.43,24.8,0.281,0.721,0.533,8.212,0.622,0.648,0.198,86.24,0.635
