,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
47,0021400802,1610612759,SAS,San Antonio,201980,Danny Green,G,,7,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,2
48,0021400802,1610612759,SAS,San Antonio,201988,Patty Mills,,,4,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,-1
49,0021400802,1610612759,SAS,San Antonio,202695,Kawhi Leonard,F,,5,0,0,0.0,0,0,0.0,2,4,0.5,0,1,1,0,0,0,1,0,2,6
50,0021400802,1610612759,SAS,San Antonio,203382,Aron Baynes,C,,7,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,6,-4
51,0021400802,1610612746,LAC,Los Angeles,2037,Jamal Crawford,,,6,3,5,0.6,3,3,1.0,0,0,0.0,0,0,0,2,0,1,0,0,9,11
52,0021400802,1610612759,SAS,San Antonio,2225,Tony Parker,G,,7,1,3,0.333,0,0,0.0,2,2,1.0,0,0,0,4,1,0,0,1,4,-4
53,0021400802,1610612746,LAC,Los Angeles,2440,Matt Barnes,F,,6,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-7
54,0021400802,1610612759,SAS,San Antonio,2564,Boris Diaw,,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
55,0021400803,1610612753,ORL,Orlando,101112,Channing Frye,F,,8,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,2,2,6
56,0021400803,1610612740,NOP,New Orleans,201569,Eric Gordon,G,,10,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,2,0,0,0,0,3,-5
57,0021400803,1610612740,NOP,New Orleans,201582,Alexis Ajinca,,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
58,0021400803,1610612740,NOP,New Orleans,201583,Ryan Anderson,,,4,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,5
59,0021400803,1610612740,NOP,New Orleans,201600,Omer Asik,C,,7,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,-11
60,0021400803,1610612740,NOP,New Orleans,201936,Tyreke Evans,G,,12,3,5,0.6,0,1,0.0,0,0,0.0,0,3,3,4,0,0,0,1,6,-6
61,0021400803,1610612740,NOP,New Orleans,201967,Dante Cunningham,F,,5,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,4,-1
62,0021400803,1610612740,NOP,New Orleans,202347,Quincy Pondexter,,,6,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,2,2,-5
63,0021400803,1610612740,NOP,New Orleans,202690,Jimmer Fredette,,,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
64,0021400803,1610612753,ORL,Orlando,202696,Nikola Vucevic,C,,10,3,4,0.75,0,0,0.0,0,0,0.0,1,2,3,1,0,1,0,1,6,5
65,0021400803,1610612740,NOP,New Orleans,203076,Anthony Davis,F,,12,1,5,0.2,0,0,0.0,3,4,0.75,0,1,1,0,0,0,0,0,5,-6
66,0021400803,1610612753,ORL,Orlando,203094,Andrew Nicholson,,,1,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,1
67,0021400803,1610612753,ORL,Orlando,203095,Evan Fournier,F,,10,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,1,0,0,0,0,4,9
68,0021400803,1610612753,ORL,Orlando,203473,Dewayne Dedmon,,,3,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,0
69,0021400803,1610612753,ORL,Orlando,203506,Victor Oladipo,G,,10,6,8,0.75,0,1,0.0,0,0,0.0,0,0,0,1,0,1,1,0,12,5
70,0021400803,1610612753,ORL,Orlando,203901,Elfrid Payton,G,,10,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,4,0,0,0,0,3,6
71,0021400803,1610612753,ORL,Orlando,2557,Luke Ridnour,,,1,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
72,0021400803,1610612753,ORL,Orlando,2584,Willie Green,,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
73,0021400804,1610612754,IND,Indiana,101133,Ian Mahinmi,,,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,1
74,0021400804,1610612754,IND,Indiana,101139,CJ Miles,G,,9,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,1,0,0,0,3,4
75,0021400804,1610612754,IND,Indiana,201155,Rodney Stuckey,,,6,4,5,0.8,1,2,0.5,1,1,1.0,0,0,0,0,2,0,0,1,10,5
76,0021400804,1610612754,IND,Indiana,201228,CJ Watson,,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,5
77,0021400804,1610612754,IND,Indiana,201579,Roy Hibbert,C,,7,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,3,4,0
78,0021400804,1610612755,PHI,Philadelphia,201580,JaVale McGee,,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-5
79,0021400804,1610612754,IND,Indiana,201588,George Hill,G,,8,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,3,0,0,1,0,4,-4
80,0021400804,1610612755,PHI,Philadelphia,201601,Luc Mbah a Moute,F,,8,2,2,1.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,1,0,6,4
81,0021400804,1610612755,PHI,Philadelphia,203138,Hollis Thompson,,,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
82,0021400804,1610612755,PHI,Philadelphia,203156,Henry Sims,,,3,0,0,0.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,1,0,3,-5
