,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
1642,0021500502,1610612745,Rockets,HOU,Houston,240,0.703,0.297,0.544,0.097,0.262,0.262,0.194,0.107,0.447,0.643,0.357,0.889,0.111,0.703,0.297
1643,0021500502,1610612759,Spurs,SAS,San Antonio,240,0.721,0.279,0.529,0.165,0.322,0.124,0.149,0.24,0.364,0.594,0.406,0.923,0.077,0.689,0.311
1644,0021500503,1610612762,Jazz,UTA,Utah,265,0.64,0.36,0.478,0.152,0.293,0.098,0.228,0.12,0.326,0.409,0.591,0.889,0.111,0.548,0.452
1645,0021500503,1610612763,Grizzlies,MEM,Memphis,265,0.778,0.222,0.598,0.184,0.241,0.149,0.161,0.264,0.414,0.385,0.615,1.0,0.0,0.515,0.485
1646,0021500504,1610612743,Nuggets,DEN,Denver,265,0.714,0.286,0.722,0.148,0.139,0.13,0.139,0.167,0.574,0.59,0.41,0.8,0.2,0.614,0.386
1647,0021500504,1610612744,Warriors,GSW,Golden State,265,0.674,0.326,0.595,0.126,0.27,0.09,0.135,0.135,0.468,0.727,0.273,1.0,0.0,0.791,0.209
1648,0021500505,1610612746,Clippers,LAC,Los Angeles,240,0.716,0.284,0.569,0.2,0.277,0.169,0.154,0.185,0.369,0.486,0.514,0.833,0.167,0.571,0.429
1649,0021500505,1610612755,76ers,PHI,Philadelphia,240,0.742,0.258,0.646,0.101,0.273,0.242,0.081,0.222,0.545,0.688,0.313,0.889,0.111,0.732,0.268
1650,0021500506,1610612737,Hawks,ATL,Atlanta,240,0.69,0.31,0.598,0.165,0.247,0.258,0.155,0.268,0.433,0.621,0.379,1.0,0.0,0.703,0.297
1651,0021500506,1610612752,Knicks,NYK,New York,240,0.705,0.295,0.595,0.234,0.297,0.081,0.108,0.126,0.36,0.515,0.485,0.909,0.091,0.614,0.386
1652,0021500507,1610612741,Bulls,CHI,Chicago,240,0.744,0.256,0.574,0.209,0.235,0.0,0.191,0.078,0.365,0.515,0.485,0.667,0.333,0.548,0.452
1653,0021500507,1610612761,Raptors,TOR,Toronto,240,0.674,0.326,0.513,0.142,0.345,0.071,0.142,0.133,0.372,0.31,0.69,0.923,0.077,0.5,0.5
1654,0021500508,1610612748,Heat,MIA,Miami,240,0.733,0.267,0.619,0.289,0.278,0.103,0.103,0.124,0.33,0.6,0.4,1.0,0.0,0.692,0.308
1655,0021500508,1610612764,Wizards,WAS,Washington,240,0.681,0.319,0.72,0.32,0.16,0.173,0.12,0.173,0.4,0.556,0.444,1.0,0.0,0.613,0.387
1656,0021500509,1610612743,Nuggets,DEN,Denver,240,0.725,0.275,0.509,0.151,0.198,0.104,0.292,0.094,0.358,0.481,0.519,1.0,0.0,0.588,0.412
1657,0021500509,1610612757,Trail Blazers,POR,Portland,240,0.709,0.291,0.536,0.196,0.268,0.071,0.196,0.089,0.339,0.433,0.567,1.0,0.0,0.575,0.425
1658,0021500510,1610612747,Lakers,LAL,Los Angeles,240,0.738,0.262,0.619,0.268,0.247,0.134,0.134,0.186,0.351,0.667,0.333,0.75,0.25,0.684,0.316
1659,0021500510,1610612756,Suns,PHX,Phoenix,240,0.697,0.303,0.675,0.13,0.234,0.13,0.091,0.208,0.545,0.462,0.538,0.667,0.333,0.5,0.5
1660,0021500511,1610612739,Cavaliers,CLE,Cleveland,240,0.554,0.446,0.393,0.066,0.418,0.049,0.189,0.131,0.328,0.5,0.5,0.765,0.235,0.61,0.39
1661,0021500511,1610612761,Raptors,TOR,Toronto,240,0.74,0.26,0.56,0.1,0.24,0.08,0.2,0.16,0.46,0.607,0.393,0.875,0.125,0.667,0.333
1662,0021500512,1610612750,Timberwolves,MIN,Minnesota,240,0.932,0.068,0.747,0.242,0.061,0.101,0.192,0.202,0.505,0.649,0.351,1.0,0.0,0.667,0.333
1663,0021500512,1610612755,76ers,PHI,Philadelphia,240,0.77,0.23,0.807,0.275,0.11,0.202,0.083,0.193,0.532,0.614,0.386,1.0,0.0,0.646,0.354
1664,0021500513,1610612738,Celtics,BOS,Boston,240,0.772,0.228,0.68,0.155,0.175,0.155,0.146,0.194,0.524,0.457,0.543,1.0,0.0,0.537,0.463
1665,0021500513,1610612751,Nets,BKN,Brooklyn,240,0.671,0.329,0.553,0.128,0.191,0.085,0.255,0.043,0.426,0.423,0.577,0.833,0.167,0.5,0.5
1666,0021500514,1610612753,Magic,ORL,Orlando,240,0.753,0.247,0.674,0.225,0.202,0.079,0.124,0.079,0.449,0.367,0.633,1.0,0.0,0.472,0.528
1667,0021500514,1610612765,Pistons,DET,Detroit,240,0.659,0.341,0.504,0.139,0.365,0.174,0.13,0.13,0.365,0.517,0.483,0.714,0.286,0.581,0.419
1668,0021500515,1610612748,Heat,MIA,Miami,265,0.756,0.244,0.563,0.058,0.146,0.058,0.291,0.097,0.505,0.31,0.69,1.0,0.0,0.412,0.588
1669,0021500515,1610612754,Pacers,IND,Indiana,265,0.702,0.298,0.58,0.28,0.24,0.08,0.18,0.13,0.3,0.448,0.552,0.625,0.375,0.486,0.514
1670,0021500516,1610612749,Bucks,MIL,Milwaukee,240,0.844,0.156,0.701,0.268,0.093,0.021,0.206,0.113,0.433,0.588,0.412,1.0,0.0,0.622,0.378
1671,0021500516,1610612759,Spurs,SAS,San Antonio,240,0.778,0.222,0.65,0.163,0.22,0.106,0.13,0.228,0.488,0.625,0.375,0.778,0.222,0.653,0.347
1672,0021500517,1610612758,Kings,SAC,Sacramento,240,0.809,0.191,0.569,0.138,0.181,0.147,0.25,0.078,0.431,0.576,0.424,1.0,0.0,0.65,0.35
1673,0021500517,1610612760,Thunder,OKC,Oklahoma City,240,0.674,0.326,0.558,0.173,0.288,0.058,0.154,0.144,0.385,0.552,0.448,0.7,0.3,0.59,0.41
1674,0021500518,1610612745,Rockets,HOU,Houston,240,0.618,0.382,0.473,0.086,0.355,0.129,0.172,0.161,0.387,0.455,0.545,0.636,0.364,0.515,0.485
1675,0021500518,1610612762,Jazz,UTA,Utah,240,0.613,0.387,0.396,0.088,0.396,0.088,0.209,0.253,0.308,0.444,0.556,0.75,0.25,0.567,0.433
1676,0021500519,1610612757,Trail Blazers,POR,Portland,240,0.611,0.389,0.538,0.154,0.269,0.115,0.192,0.128,0.385,0.476,0.524,0.571,0.429,0.5,0.5
1677,0021500519,1610612763,Grizzlies,MEM,Memphis,240,0.835,0.165,0.703,0.374,0.099,0.055,0.198,0.242,0.33,0.563,0.438,1.0,0.0,0.6,0.4
1678,0021500520,1610612744,Warriors,GSW,Golden State,240,0.609,0.391,0.541,0.288,0.405,0.225,0.054,0.171,0.252,0.633,0.367,0.867,0.133,0.711,0.289
1679,0021500520,1610612766,Hornets,CHA,Charlotte,240,0.756,0.244,0.614,0.198,0.208,0.109,0.178,0.119,0.416,0.323,0.677,0.714,0.286,0.395,0.605
1680,0021500521,1610612737,Hawks,ATL,Atlanta,240,0.552,0.448,0.436,0.079,0.446,0.079,0.119,0.109,0.356,0.409,0.591,0.867,0.133,0.595,0.405
1681,0021500521,1610612752,Knicks,NYK,New York,240,0.786,0.214,0.654,0.224,0.14,0.056,0.206,0.14,0.43,0.486,0.514,0.6,0.4,0.5,0.5
1682,0021500522,1610612741,Bulls,CHI,Chicago,240,0.771,0.229,0.701,0.222,0.128,0.103,0.171,0.051,0.479,0.561,0.439,0.8,0.2,0.587,0.413
