,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,DATE,IS_REGULAR_SEASON
93,101138,Brandon Bass,1610612747,LAL,0021500108,1,0,1,10.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-10,1
94,101138,Brandon Bass,1610612747,LAL,0021500114,1,0,1,13.0,14.0,13.0,2.0,0.0,0.0,3.0,5.0,2.0,0.143,0.143,2015-11-11,1
95,101138,Brandon Bass,1610612747,LAL,0021500135,1,0,1,18.0,16.0,14.0,1.0,0.0,1.0,2.0,2.0,2.0,0.063,0.125,2015-11-13,1
96,101138,Brandon Bass,1610612747,LAL,0021500151,1,1,0,20.0,14.0,13.0,2.0,0.0,0.0,3.0,4.0,2.0,0.143,0.143,2015-11-15,1
97,101139,CJ Miles,1610612754,IND,0021500009,1,0,1,36.0,26.0,35.0,1.0,0.0,1.0,3.0,3.0,2.0,0.038,0.077,2015-10-28,1
98,101139,CJ Miles,1610612754,IND,0021500018,1,0,1,21.0,21.0,21.0,2.0,0.0,0.0,2.0,5.0,2.0,0.095,0.095,2015-10-29,1
99,101139,CJ Miles,1610612754,IND,0021500033,1,0,1,26.0,27.0,30.0,2.0,1.0,0.0,4.0,4.0,3.0,0.074,0.111,2015-10-31,1
100,101139,CJ Miles,1610612754,IND,0021500054,1,1,0,30.0,16.0,18.0,1.0,0.0,0.0,1.0,3.0,1.0,0.063,0.063,2015-11-03,1
101,101139,CJ Miles,1610612754,IND,0021500099,1,1,0,27.0,24.0,26.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.042,2015-11-09,1
102,101139,CJ Miles,1610612754,IND,0021500116,1,1,0,29.0,32.0,35.0,1.0,0.0,2.0,2.0,3.0,3.0,0.031,0.094,2015-11-11,1
103,101139,CJ Miles,1610612754,IND,0021500127,1,1,0,21.0,21.0,29.0,1.0,0.0,0.0,2.0,3.0,1.0,0.048,0.048,2015-11-13,1
104,101141,Ersan Ilyasova,1610612765,DET,0021500001,1,1,0,34.0,53.0,52.0,3.0,0.0,0.0,4.0,6.0,3.0,0.057,0.057,2015-10-27,1
105,101141,Ersan Ilyasova,1610612765,DET,0021500007,1,1,0,22.0,36.0,27.0,1.0,0.0,0.0,2.0,3.0,1.0,0.028,0.028,2015-10-28,1
106,101141,Ersan Ilyasova,1610612765,DET,0021500025,1,1,0,22.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-10-30,1
107,101141,Ersan Ilyasova,1610612765,DET,0021500054,1,0,1,35.0,44.0,42.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.045,2015-11-03,1
108,101141,Ersan Ilyasova,1610612765,DET,0021500082,1,1,0,21.0,32.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015-11-06,1
109,101141,Ersan Ilyasova,1610612765,DET,0021500098,1,1,0,26.0,42.0,36.0,4.0,0.0,0.0,5.0,8.0,4.0,0.095,0.095,2015-11-08,1
110,101141,Ersan Ilyasova,1610612765,DET,0021500104,1,0,1,17.0,29.0,21.0,1.0,0.0,0.0,1.0,2.0,1.0,0.034,0.034,2015-11-09,1
111,101141,Ersan Ilyasova,1610612765,DET,0021500122,1,0,1,17.0,30.0,27.0,1.0,0.0,0.0,1.0,2.0,1.0,0.033,0.033,2015-11-11,1
112,101141,Ersan Ilyasova,1610612765,DET,0021500138,1,0,1,29.0,40.0,35.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.025,2015-11-14,1
113,101141,Ersan Ilyasova,1610612765,DET,0021500151,1,0,1,29.0,30.0,31.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.033,2015-11-15,1
114,101145,Monta Ellis,1610612754,IND,0021500009,1,0,1,29.0,41.0,47.0,6.0,0.0,1.0,12.0,14.0,7.0,0.146,0.171,2015-10-28,1
115,101145,Monta Ellis,1610612754,IND,0021500018,1,0,1,32.0,42.0,51.0,3.0,0.0,0.0,8.0,8.0,3.0,0.071,0.071,2015-10-29,1
116,101145,Monta Ellis,1610612754,IND,0021500033,1,0,1,32.0,41.0,46.0,3.0,1.0,0.0,6.0,7.0,4.0,0.073,0.098,2015-10-31,1
117,101145,Monta Ellis,1610612754,IND,0021500054,1,1,0,33.0,30.0,40.0,3.0,0.0,0.0,6.0,6.0,3.0,0.1,0.1,2015-11-03,1
118,101145,Monta Ellis,1610612754,IND,0021500060,1,1,0,33.0,53.0,65.0,8.0,0.0,0.0,13.0,20.0,8.0,0.151,0.151,2015-11-04,1
119,101145,Monta Ellis,1610612754,IND,0021500080,1,1,0,36.0,55.0,57.0,8.0,1.0,1.0,13.0,18.0,10.0,0.145,0.182,2015-11-06,1
120,101145,Monta Ellis,1610612754,IND,0021500094,1,0,1,34.0,48.0,59.0,3.0,0.0,2.0,6.0,8.0,5.0,0.063,0.104,2015-11-08,1
121,101145,Monta Ellis,1610612754,IND,0021500099,1,1,0,33.0,39.0,43.0,4.0,0.0,0.0,7.0,9.0,4.0,0.103,0.103,2015-11-09,1
122,101145,Monta Ellis,1610612754,IND,0021500116,1,1,0,35.0,56.0,62.0,6.0,2.0,0.0,9.0,15.0,8.0,0.107,0.143,2015-11-11,1
123,101145,Monta Ellis,1610612754,IND,0021500127,1,1,0,37.0,55.0,66.0,5.0,0.0,2.0,10.0,13.0,7.0,0.091,0.127,2015-11-13,1
124,101150,Lou Williams,1610612747,LAL,0021500017,1,0,1,27.0,13.0,26.0,1.0,0.0,0.0,3.0,2.0,1.0,0.077,0.077,2015-10-28,1
125,101150,Lou Williams,1610612747,LAL,0021500031,1,0,1,26.0,17.0,21.0,5.0,0.0,1.0,6.0,11.0,6.0,0.294,0.353,2015-10-30,1
126,101150,Lou Williams,1610612747,LAL,0021500045,1,0,1,27.0,21.0,32.0,1.0,0.0,0.0,2.0,2.0,1.0,0.048,0.048,2015-11-01,1
127,101150,Lou Williams,1610612747,LAL,0021500059,1,0,1,33.0,32.0,42.0,2.0,0.0,0.0,10.0,4.0,2.0,0.063,0.063,2015-11-03,1
128,101150,Lou Williams,1610612747,LAL,0021500077,1,1,0,25.0,32.0,45.0,3.0,0.0,0.0,5.0,7.0,3.0,0.094,0.094,2015-11-06,1
129,101150,Lou Williams,1610612747,LAL,0021500095,1,0,1,21.0,31.0,40.0,5.0,1.0,0.0,6.0,11.0,6.0,0.161,0.194,2015-11-08,1
130,101150,Lou Williams,1610612747,LAL,0021500108,1,0,1,26.0,25.0,37.0,3.0,0.0,0.0,8.0,7.0,3.0,0.12,0.12,2015-11-10,1
131,101150,Lou Williams,1610612747,LAL,0021500114,1,0,1,29.0,27.0,36.0,3.0,1.0,2.0,2.0,4.0,6.0,0.111,0.222,2015-11-11,1
132,101150,Lou Williams,1610612747,LAL,0021500135,1,0,1,28.0,41.0,53.0,4.0,0.0,0.0,8.0,10.0,4.0,0.098,0.098,2015-11-13,1
133,101150,Lou Williams,1610612747,LAL,0021500151,1,1,0,20.0,30.0,36.0,4.0,0.0,0.0,6.0,9.0,4.0,0.133,0.133,2015-11-15,1
134,101161,Amir Johnson,1610612738,BOS,0021500005,1,1,0,20.0,21.0,18.0,1.0,0.0,0.0,2.0,2.0,1.0,0.048,0.048,2015-10-28,1
135,101161,Amir Johnson,1610612738,BOS,0021500024,1,0,1,19.0,23.0,15.0,2.0,0.0,0.0,1.0,2.0,1.0,0.087,0.043,2015-10-30,1
136,101161,Amir Johnson,1610612738,BOS,0021500040,1,0,1,28.0,32.0,22.0,1.0,0.0,1.0,1.0,2.0,2.0,0.031,0.063,2015-11-01,1
137,101161,Amir Johnson,1610612738,BOS,0021500060,1,0,1,21.0,25.0,16.0,1.0,0.0,1.0,1.0,2.0,2.0,0.04,0.08,2015-11-04,1
138,101161,Amir Johnson,1610612738,BOS,0021500076,1,1,0,18.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-06,1
139,101161,Amir Johnson,1610612738,BOS,0021500110,1,1,0,23.0,33.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2015-11-10,1
140,101161,Amir Johnson,1610612738,BOS,0021500116,1,0,1,14.0,15.0,16.0,1.0,0.0,0.0,1.0,2.0,1.0,0.067,0.067,2015-11-11,1
